Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-25 00:00:00-04:00,168.3111061654739,176.97389870726155,163.36637600493304,173.22731018066406,9442200,0.0,0.0
2024-07-26 00:00:00-04:00,174.44444827116487,177.67755119335203,173.17023226823596,176.0705108642578,6948800,0.0,0.0
2024-07-29 00:00:00-04:00,175.0055241274216,176.9929376693285,171.6678342189126,173.0086212158203,5458500,0.0,0.0
2024-07-30 00:00:00-04:00,174.57758680373396,178.4953463951692,173.63619506385746,177.61099243164062,6032200,0.0,0.0
2024-07-31 00:00:00-04:00,177.24015314539955,178.29566405700655,174.44447481142754,176.22268676757812,6473900,0.0,0.0
2024-08-01 00:00:00-04:00,178.5524030071346,181.59531258653186,177.60149285671434,180.3971710205078,6595500,0.0,0.0
2024-08-02 00:00:00-04:00,181.60484344893104,184.39101814871944,177.30673937739343,179.997802734375,6303900,0.0,0.0
2024-08-05 00:00:00-04:00,178.24810813181392,179.99777935901074,174.05459080760497,175.30979919433594,6459300,0.0,0.0
2024-08-06 00:00:00-04:00,176.32726817689337,178.5999574424244,174.0926379538536,176.59353637695312,4273200,0.0,0.0
2024-08-07 00:00:00-04:00,178.67601490789153,180.28305541467,176.85026912502263,178.30516052246094,6351000,0.0,0.0
2024-08-08 00:00:00-04:00,177.7441204881471,181.34807802109566,177.7441204881471,181.05328369140625,5744600,0.0,0.0
2024-08-09 00:00:00-04:00,181.41464850004567,181.63335378537425,178.86621610477135,180.6063690185547,3206500,0.0,0.0
2024-08-12 00:00:00-04:00,180.7490033840278,181.21495458188616,178.4858325797691,180.84408569335938,4808300,0.0,0.0
2024-08-13 00:00:00-04:00,181.2054516994396,182.51771246424457,180.0833845890471,181.84255981445312,3477300,0.0,0.0
2024-08-14 00:00:00-04:00,181.62384491757408,183.85848965108337,181.11986368146142,183.52566528320312,4153400,0.0,0.0
2024-08-15 00:00:00-04:00,184.94252423111303,185.41797931622693,181.89960007859386,183.90602111816406,4719900,0.0,0.0
2024-08-16 00:00:00-04:00,184.36247722805282,184.71430936467877,182.83151120067677,184.38148498535156,3674900,0.0,0.0
2024-08-19 00:00:00-04:00,183.9060288857266,187.5004683202256,183.85849498299774,187.2056884765625,4309300,0.0,0.0
2024-08-20 00:00:00-04:00,187.44341064971493,187.78573889602075,184.6001984884758,186.52102661132812,3631800,0.0,0.0
2024-08-21 00:00:00-04:00,186.79679156423973,187.65260489248902,186.06458668845653,186.8823699951172,4250400,0.0,0.0
2024-08-22 00:00:00-04:00,187.33880653507907,187.8427877621588,185.76030668729948,186.730224609375,3676700,0.0,0.0
2024-08-23 00:00:00-04:00,187.5670342228642,188.26119459604476,186.59710177023987,187.85231018066406,4720300,0.0,0.0
2024-08-26 00:00:00-04:00,187.8618157618997,188.25169242410226,186.44496885788934,187.74771118164062,4182300,0.0,0.0
2024-08-27 00:00:00-04:00,188.2707134425428,188.5654932794165,185.5986436247074,186.3023223876953,2504500,0.0,0.0
2024-08-28 00:00:00-04:00,185.92194989105604,186.59708794777458,184.50508859510697,185.80783081054688,3910200,0.0,0.0
2024-08-29 00:00:00-04:00,186.37840140920605,186.79680422372363,184.33395025886776,185.59864807128906,4538300,0.0,0.0
2024-08-30 00:00:00-04:00,185.6652095446599,186.85384724981134,184.6382248262405,186.6731719970703,3820800,0.0,0.0
2024-09-03 00:00:00-04:00,186.5115293769763,190.13449498209079,186.47349935258225,187.98544311523438,4872400,0.0,0.0
2024-09-04 00:00:00-04:00,188.9268243847688,190.06792818915306,186.79679490402506,187.33880615234375,4214300,0.0,0.0
2024-09-05 00:00:00-04:00,187.29128535578914,187.45293835378152,182.72691334811833,183.39254760742188,5902800,0.0,0.0
2024-09-06 00:00:00-04:00,183.9725917947541,185.18025177367,183.36400986619782,183.90602111816406,4312600,0.0,0.0
2024-09-09 00:00:00-04:00,185.39896931875765,186.9584615207402,184.41953293938843,186.7777862548828,3606900,0.0,0.0
2024-09-10 00:00:00-04:00,186.49248425474738,189.6780388951087,183.44007095779452,189.56393432617188,6333300,0.0,0.0
2024-09-11 00:00:00-04:00,187.9759219599021,187.9759219599021,183.92504971872407,185.03761291503906,4909300,0.0,0.0
2024-09-12 00:00:00-04:00,185.21827669592824,185.49404876315361,181.8805873138425,184.49559020996094,4165200,0.0,0.0
2024-09-13 00:00:00-04:00,184.3434604008904,185.03762081597722,182.39409149960275,184.67628479003906,2718100,0.0,0.0
2024-09-16 00:00:00-04:00,186.20723600890227,186.5305419835923,184.91399760040457,186.12164306640625,3235700,0.0,0.0
2024-09-17 00:00:00-04:00,185.23731738973635,186.45448133442116,182.40360894130504,183.95358276367188,3534100,0.0,0.0
2024-09-18 00:00:00-04:00,183.64928792687328,185.97901496872112,182.36555337843782,183.46861267089844,3236800,0.0,0.0
2024-09-19 00:00:00-04:00,183.93454386564628,184.62871872410392,182.53671929018466,184.11521911621094,3929300,0.0,0.0
2024-09-20 00:00:00-04:00,183.52566626574915,184.30541958450584,182.69837904538758,183.97259521484375,11661200,0.0,0.0
2024-09-23 00:00:00-04:00,184.19128792956175,184.7618398072764,182.76492274501211,184.31491088867188,3178000,0.0,0.0
2024-09-24 00:00:00-04:00,183.47812796296958,185.62719439226905,182.18488945577883,184.01063537597656,4286500,0.0,0.0
2024-09-25 00:00:00-04:00,184.47657764642386,185.01860342170875,181.58581704078526,181.87107849121094,5589300,0.0,0.0
2024-09-26 00:00:00-04:00,180.7680332964332,183.40204408116475,180.31158595727862,182.4796600341797,6215700,0.0,0.0
2024-09-27 00:00:00-04:00,183.14530214628974,186.50201384163043,180.92967973805074,185.227783203125,4891900,0.0,0.0
2024-09-30 00:00:00-04:00,185.28485220650103,187.91886292723544,184.82840487843652,187.78573608398438,4550200,0.0,0.0
2024-10-01 00:00:00-04:00,187.9473908589886,189.2025992584971,186.77777540289227,187.29127502441406,3924600,0.0,0.0
2024-10-02 00:00:00-04:00,186.05508283703023,187.3292989516231,184.9044751749211,187.15814208984375,2946900,0.0,0.0
2024-10-03 00:00:00-04:00,187.20568317540474,187.37685455349194,185.1802543512486,185.8553924560547,3453800,0.0,0.0
2024-10-04 00:00:00-04:00,185.5225993598942,186.03608452107403,183.57323040571777,184.75234985351562,4749700,0.0,0.0
2024-10-07 00:00:00-04:00,184.8759631055322,185.51307121133044,183.37352321778513,184.10572814941406,5033800,0.0,0.0
2024-10-08 00:00:00-04:00,184.79986844534054,185.42747260418386,182.8124697854069,183.53515625,4419000,0.0,0.0
2024-10-09 00:00:00-04:00,183.3830347554005,185.32288514612785,182.52720688411125,185.18975830078125,4478900,0.0,0.0
2024-10-10 00:00:00-04:00,184.99004794124275,185.25631612319725,183.7919064162636,184.80938720703125,3562500,0.0,0.0
2024-10-11 00:00:00-04:00,185.42749203311908,185.65571570835797,184.07720126820035,184.65725708007812,2973000,0.0,0.0
