티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,날짜
484590,삼양컴텍,78261,122425,44164,1036335645,1622566735,586231090,20251219
298690,에어부산,42005,85637,43632,73083318,148812422,75729104,20251219
004020,현대제철,251198,294779,43581,7643254675,8964578875,1321324200,20251219
014620,성광벤드,28739,71878,43139,762076725,1903645775,1141569050,20251219
095570,AJ네트웍스,8283,51354,43071,38429110,238995465,200566355,20251219
900140,엘브이엠씨홀딩스,97841,140668,42827,149397001,215631484,66234483,20251219
030190,NICE평가정보,65287,107186,41899,1155444300,1895714545,740270245,20251219
009420,한올바이오파마,105168,146375,41207,4501365125,6267575875,1766210750,20251219
234340,헥토파이낸셜,14173,55259,41086,224954430,877887590,652933160,20251219
086790,하나금융지주,548625,589533,40908,50644889900,54435846350,3790956450,20251219
417200,LS머트리얼즈,350090,390909,40819,4288357490,4787539190,499181700,20251219
403850,더핑크퐁컴퍼니,78647,119441,40794,1958510600,2961638250,1003127650,20251219
300080,플리토,48784,89539,40755,782240000,1431310425,649070425,20251219
128820,대성산업,7006,47718,40712,69209310,499050060,429840750,20251219
005387,현대차2우B,41107,81440,40333,8527239750,16826820750,8299581000,20251219
007070,GS리테일,53825,93694,39869,1171388800,2032744000,861355200,20251219
415640,KB발해인프라,8583,48069,39486,85078800,477023580,391944780,20251219
267250,HD현대,277582,316857,39275,54664134350,62292114000,7627979650,20251219
092790,넥스틸,24905,63115,38210,233675885,589720185,356044300,20251219
195940,HK이노엔,32449,70512,38063,1683722750,3665606700,1981883950,20251219
448730,삼성FN리츠,8081,45639,37558,37140862,209747753,172606891,20251219
144510,지씨셀,36696,74228,37532,966314975,1958657950,992342975,20251219
326030,SK바이오팜,58533,95539,37006,7552292000,12312106950,4759814950,20251219
034220,LG디스플레이,698419,735244,36825,8316222785,8750825745,434602960,20251219
123410,코리아에프티,127659,164008,36349,1076530900,1382757885,306226985,20251219
027410,BGF,12699,49012,36313,51698605,199491359,147792754,20251219
003280,흥아해운,109592,145839,36247,173238996,231203187,57964191,20251219
002350,넥센타이어,50524,86632,36108,403614170,692037200,288423030,20251219
356680,엑스게이트,19865,55435,35570,151375965,426878850,275502885,20251219
181710,NHN,41388,76382,34994,1194881750,2201268100,1006386350,20251219
017860,DS단석,9882,44768,34886,186834400,852885395,666050995,20251219
114190,강원에너지,76129,110999,34870,1083897790,1574485925,490588135,20251219
098070,한텍,21062,55582,34520,696205150,1842835625,1146630475,20251219
211050,인카금융서비스,59316,93574,34258,807866120,1270892360,463026240,20251219
030000,제일기획,177882,212017,34135,4104306225,4892780925,788474700,20251219
041190,우리기술투자,190874,224895,34021,1423229700,1680926140,257696440,20251219
218410,RFHIC,25021,58760,33739,790934500,1858089075,1067154575,20251219
457550,우진엔텍,7541,41201,33660,159453150,877605025,718151875,20251219
088800,에이스테크,15622,48872,33250,46895690,146145529,99249839,20251219
189300,인텔리안테크,47215,79946,32731,2381861700,4073321950,1691460250,20251219
095500,미래나노텍,54418,86348,31930,580630105,914267560,333637455,20251219
028260,삼성물산,275238,307082,31844,68072510750,75928335250,7855824500,20251219
067080,대화제약,39944,71700,31756,706249060,1268684760,562435700,20251219
000490,대동,15906,47562,31656,154807450,467106155,312298705,20251219
009450,경동나비엔,14419,46048,31629,813322100,2582991200,1769669100,20251219
006400,삼성SDI,188876,219619,30743,52268439250,60338280500,8069841250,20251219
001450,현대해상,290776,321128,30352,8841889475,9792239650,950350175,20251219
347850,디앤디파마텍,678740,709055,30315,63090373500,66771555550,3681182050,20251219
038390,레드캡투어,1896,31999,30103,22544550,381697945,359153395,20251219
102260,동성케미컬,8303,38206,29903,37329105,171240790,133911685,20251219
026890,스틱인베스트먼트,20205,50047,29842,211274140,524075965,312801825,20251219
353810,이지바이오,4367,33987,29620,26928750,209942310,183013560,20251219
304100,솔트룩스,37320,66584,29264,1038381925,1855295875,816913950,20251219
136480,하림,91230,120408,29178,275352835,363574572,88221737,20251219
003000,부광약품,129462,158635,29173,509564825,629049574,119484749,20251219
017810,풀무원,6317,35384,29067,81793710,459667710,377874000,20251219
084990,헬릭스미스,30843,59739,28896,208213720,403724540,195510820,20251219
055550,신한지주,1446091,1474852,28761,111728526200,113945558500,2217032300,20251219
107640,한중엔시에스,27813,56237,28424,1390819050,2826481425,1435662375,20251219
005950,이수화학,67553,95958,28405,593224190,836573660,243349470,20251219
000270,기아,709357,737629,28272,85600816350,89011109250,3410292900,20251219
005720,넥센,9110,37382,28272,57414690,234335260,176920570,20251219
216080,제테마,70933,98996,28063,424471495,601654820,177183325,20251219
456160,지투지바이오,190160,217964,27804,12933552300,14714223400,1780671100,20251219
089010,켐트로닉스,58499,86284,27785,1717071775,2519767600,802695825,20251219
031210,서울보증보험,33924,61572,27648,1698720775,3093624850,1394904075,20251219
001500,현대차증권,24034,51475,27441,192631235,413664520,221033285,20251219
334970,프레스티지바이오로직스,14129,41470,27341,43943425,129441630,85498205,20251219
018290,브이티,70892,97887,26995,1259569860,1738746850,479176990,20251219
079550,LIG넥스원,175434,202385,26951,72479372250,83453294500,10973922250,20251219
199820,제일일렉트릭,13120,39756,26636,115682150,350372490,234690340,20251219
214180,헥토이노베이션,6760,33352,26592,117558120,582611715,465053595,20251219
078130,국일제지,38579,65127,26548,13238217,22172376,8934159,20251219
240810,원익IPS,186118,212510,26392,10732137100,12239488150,1507351050,20251219
0008Z0,에스엔시스,9352,35637,26285,275481650,1058066225,782584575,20251219
123890,한국자산신탁,4702,30589,25887,11811775,76891265,65079490,20251219
078020,LS증권,9738,35550,25812,47026585,172086074,125059489,20251219
308080,바이젠셀,102511,128157,25646,1163590150,1449593955,286003805,20251219
237690,에스티팜,93125,118710,25585,11932466450,15139455650,3206989200,20251219
950170,JTC,9825,35228,25403,38789556,140816876,102027320,20251219
003540,대신증권,48989,74006,25017,1338723150,2025963400,687240250,20251219
000150,두산,124998,149938,24940,94348706000,112885460500,18536754500,20251219
032350,롯데관광개발,229799,254608,24809,5268951950,5831658675,562706725,20251219
160190,하이젠알앤엠,73297,98061,24764,4219003700,5659002350,1439998650,20251219
024720,콜마홀딩스,10865,35558,24693,107080200,350823070,243742870,20251219
004000,롯데정밀화학,24227,48895,24668,1128578950,2271090075,1142511125,20251219
122900,아이마켓코리아,24101,48495,24394,192169990,387408435,195238445,20251219
084370,유진테크,110837,134981,24144,8068542953,9819994253,1751451300,20251219
377740,바이오노트,441,24382,23941,2481570,137416610,134935040,20251219
145720,덴티움,21446,45029,23583,981583150,2052167850,1070584700,20251219
067160,SOOP,21784,45257,23473,1512733650,3141170700,1628437050,20251219
950140,잉글우드랩,4837,28094,23257,57278100,332882060,275603960,20251219
018260,삼성에스디에스,53960,77051,23091,9220027100,13128648000,3908620900,20251219
339770,교촌에프앤비,1871,24611,22740,8298110,109541135,101243025,20251219
028050,삼성E&A,701490,724137,22647,17499049113,18061484938,562435825,20251219
347700,스피어,216453,238792,22339,2889630860,3166871675,277240815,20251219
006260,LS,94911,117055,22144,17442914700,21566113050,4123198350,20251219
000540,흥국화재,12738,34745,22007,45839760,124733990,78894230,20251219
035510,신세계 I&C,75252,97029,21777,1347149460,1741919360,394769900,20251219
006060,화승인더,21184,42497,21313,81868980,164152365,82283385,20251219
137310,에스디바이오센서,34554,55229,20675,315802430,504863330,189060900,20251219
048410,현대바이오,69028,89671,20643,364032460,473491655,109459195,20251219
023760,한국캐피탈,13268,33786,20518,10914152,27725551,16811399,20251219
004170,신세계,29076,49570,20494,7296278000,12435241500,5138963500,20251219
192400,쿠쿠홀딩스,9039,29509,20470,273995775,894876850,620881075,20251219
002310,아세아제지,11920,32293,20373,98953840,267977580,169023740,20251219
016610,DB증권,18903,39005,20102,201624990,417629290,216004300,20251219
013030,하이록코리아,11993,32057,20064,389375300,1039512050,650136750,20251219
032500,케이엠더블유,49869,69503,19634,779701870,1087764640,308062770,20251219
127120,제이에스링크,50356,69973,19617,889462150,1239737510,350275360,20251219
192650,드림텍,17559,36853,19294,121726780,255916070,134189290,20251219
052400,코나아이,25012,44134,19122,1181580700,2084221750,902641050,20251219
494120,큐리오시스,51359,70459,19100,3278985650,4494370600,1215384950,20251219
452450,피아이이,39429,58283,18854,259192595,385301735,126109140,20251219
348370,엔켐,42353,61198,18845,2617170950,3742343450,1125172500,20251219
003850,보령,111279,129786,18507,1028013495,1200544660,172531165,20251219
144960,뉴파워프라즈마,46537,64146,17609,227141155,313304185,86163030,20251219
005385,현대차우,32806,50349,17543,6632454000,10171058850,3538604850,20251219
179290,엠아이텍,2523,20025,17502,15862110,126080020,110217910,20251219
121440,골프존홀딩스,10110,27454,17344,53133140,143999380,90866240,20251219
030520,한글과컴퓨터,29317,46510,17193,678264100,1070680300,392416200,20251219
136490,선진,11079,28229,17150,107394160,274435280,167041120,20251219
121600,나노신소재,25490,42536,17046,1334905850,2220921650,886015800,20251219
032830,삼성생명,115447,132428,16981,17839095150,20460828050,2621732900,20251219
008930,한미사이언스,24367,41217,16850,916466425,1553427350,636960925,20251219
012030,DB,62982,79733,16751,94039491,119325502,25286011,20251219
083310,엘오티베큠,8344,25077,16733,96120635,287516730,191396095,20251219
001120,LX인터내셔널,33284,49797,16513,1092626200,1634723175,542096975,20251219
001390,KG케미칼,164459,180883,16424,935155590,1031148830,95993240,20251219
059090,미코,57671,73933,16262,767588630,984134415,216545785,20251219
472850,폰드그룹,14455,30486,16031,148723300,313272610,164549310,20251219
118990,모트렉스,5872,21711,15839,50289850,186228460,135938610,20251219
015860,일진홀딩스,27227,43028,15801,195382195,309558020,114175825,20251219
089030,테크윙,205261,220986,15725,8460019800,9105502200,645482400,20251219
095700,제넥신,41105,56765,15660,194325810,272428560,78102750,20251219
004360,세방,11963,27514,15551,184976240,426006240,241030000,20251219
036200,유니셈,67286,82693,15407,604171100,741425555,137254455,20251219
217270,넵튠,2180,17506,15326,10791925,86943580,76151655,20251219
079160,CJ CGV,178823,194131,15308,1083153040,1179731220,96578180,20251219
001440,대한전선,368300,383562,15262,8309469375,8683248375,373779000,20251219
025860,남해화학,1775,16972,15197,11983010,114904880,102921870,20251219
253590,네오셈,25927,40898,14971,240377740,378426800,138049060,20251219
084670,동양고속,174618,189536,14918,20378232500,22092890150,1714657650,20251219
035900,JYP Ent.,80547,95381,14834,5693081550,6736984150,1043902600,20251219
010580,에스엠벡셀,55212,70016,14804,105291710,133539993,28248283,20251219
033100,제룡전기,22068,36815,14747,803942050,1345317025,541374975,20251219
005500,삼진제약,2432,16749,14317,49530000,341327850,291797850,20251219
053210,스카이라이프,6214,20455,14241,33607280,110549330,76942050,20251219
001680,대상,55600,69779,14179,1182122525,1484508550,302386025,20251219
151860,KG에코솔루션,23505,37649,14144,141602905,228923465,87320560,20251219
005070,코스모신소재,82984,97052,14068,3840382775,4450275500,609892725,20251219
475150,SK이터닉스,118444,132220,13776,2600466325,2911196775,310730450,20251219
069620,대웅제약,10571,24333,13762,1913661950,4407140300,2493478350,20251219
033780,KT&G,221142,234844,13702,32303648250,34280008600,1976360350,20251219
461300,아이스크림미디어,2213,15645,13432,38755390,274933555,236178165,20251219
086280,현대글로비스,54441,67855,13414,9662958600,12034502000,2371543400,20251219
237880,클리오,4464,17683,13219,60341970,239295440,178953470,20251219
035150,백산,2153,15287,13134,28504510,201847930,173343420,20251219
126340,비나텍,44001,57035,13034,3260084000,4236453700,976369700,20251219
082920,비츠로셀,167633,180541,12908,3349005630,3601175235,252169605,20251219
200670,휴메딕스,21907,34505,12598,919289125,1447087675,527798550,20251219
100120,뷰웍스,2216,14763,12547,43911640,295162310,251250670,20251219
008490,서흥,3731,16226,12495,81020350,352579550,271559200,20251219
213500,한솔제지,4204,16667,12463,35820590,141774110,105953520,20251219
