티커,종목명,날짜,외국인순매수,기관순매수
298050,HS효성첨단소재,20260512,7079,-311
094170,동운아나텍,20260512,-51129,18830
009450,경동나비엔,20260512,9161,1673
075580,세진중공업,20260512,18294,-7653
056080,유진로봇,20260512,-116965,25617
090460,비에이치,20260512,114743,49038
078160,메디포스트,20260512,36071,-32280
002020,코오롱,20260512,3645,-19824
071055,한국금융지주우,20260512,-3265,-629
248070,솔루엠,20260512,65178,74039
086450,동국제약,20260512,62117,-53219
327260,RF머트리얼즈,20260512,7273,4302
035760,CJ ENM,20260512,-59727,-24627
439960,코스모로보틱스,20260512,-20872,-23098
192400,쿠쿠홀딩스,20260512,13622,-4641
057050,현대홈쇼핑,20260512,1861,29
476060,온코닉테라퓨틱스,20260512,-2700,102413
451800,한화리츠,20260512,55428,1649
006650,대한유화,20260512,20442,-70440
074600,원익QnC,20260512,97812,42293
241710,코스메카코리아,20260512,65273,5357
293490,카카오게임즈,20260512,19691,18933
014620,성광벤드,20260512,-62847,-76370
108320,LX세미콘,20260512,66355,-20765
006120,SK디스커버리,20260512,-3549,1507
023160,태광,20260512,16787,-40481
046890,서울반도체,20260512,279461,-24365
137310,에스디바이오센서,20260512,-51709,-11985
053610,프로텍,20260512,-267,4462
356860,티엘비,20260512,44209,-10605
499790,GS피앤엘,20260512,96922,-156898
348340,뉴로메카,20260512,-102477,4113
033240,자화전자,20260512,55805,7849
079900,전진건설로봇,20260512,-2304,3742
044490,태웅,20260512,7201,-100750
358570,지아이이노베이션,20260512,113044,-69306
171090,선익시스템,20260512,-14257,-3904
484870,엠앤씨솔루션,20260512,-560,-2751
122870,와이지엔터테인먼트,20260512,62591,-39651
031330,에스에이엠티,20260512,-13529,-18589
036530,SNT홀딩스,20260512,-3333,152
082270,젬백스,20260512,106542,-16498
121600,나노신소재,20260512,60189,-68560
253450,스튜디오드래곤,20260512,12906,-55910
025540,한국단자,20260512,10073,-1857
285130,SK케미칼,20260512,-31119,-50759
052400,코나아이,20260512,-63497,-24000
365340,성일하이텍,20260512,20067,-817
064960,SNT모티브,20260512,-11046,-606
009240,한샘,20260512,20121,-120803
174900,앱클론,20260512,41292,-22348
071320,지역난방공사,20260512,8248,-1738
003160,디아이,20260512,39835,-3762
348370,엔켐,20260512,33441,-34398
004490,세방전지,20260512,-6045,1231
178920,PI첨단소재,20260512,37430,-1778
102940,코오롱생명과학,20260512,8189,459
032190,다우데이타,20260512,-67205,-6628
006730,서부T&D,20260512,38594,-42999
079160,CJ CGV,20260512,340765,87061
011930,신성이엔지,20260512,0,0
336370,솔루스첨단소재,20260512,119398,31820
003620,KG모빌리티,20260512,241093,6725
036810,에프에스티,20260512,150191,-226743
005090,SGC에너지,20260512,18724,-17157
003850,보령,20260512,38358,354
030190,NICE평가정보,20260512,-44185,6995
214320,이노션,20260512,157489,90071
077360,덕산하이메탈,20260512,312279,-279743
009520,포스코엠텍,20260512,14408,-11618
005880,대한해운,20260512,-1718717,-601151
086900,메디톡스,20260512,33202,-5813
024850,HLB이노베이션,20260512,90460,110367
003030,세아제강지주,20260512,12250,-12231
389470,인벤티지랩,20260512,147699,24493
399720,가온칩스,20260512,560,5529
317450,명인제약,20260512,-4608,-2024
060250,NHN KCP,20260512,-119827,-13269
059090,미코,20260512,161562,-37142
368770,파이버프로,20260512,-159312,25969
007700,F&F홀딩스,20260512,-11763,4499
425420,티에프이,20260512,72584,-68512
033500,동성화인텍,20260512,17059,-40330
000370,한화손해보험,20260512,-419829,-7446
001270,부국증권,20260512,-4296,4790
336570,원텍,20260512,-198945,-11009
252990,샘씨엔에스,20260512,409097,-216909
102710,이엔에프테크놀로지,20260512,28369,-92412
017900,광전자,20260512,-41596,135
014820,동원시스템즈,20260512,831,-12101
217590,티엠씨,20260512,7633,11089
348210,넥스틴,20260512,42211,-12473
010780,아이에스동서,20260512,24603,-24720
249420,일동제약,20260512,42451,-39204
112040,위메이드,20260512,27049,-9591
053800,안랩,20260512,17803,-5491
093050,LF,20260512,14377,-27743
225570,넥슨게임즈,20260512,-3583,-15320
448900,한국피아이엠,20260512,-2619,-29123
475960,토모큐브,20260512,-7558,-10127
253590,네오셈,20260512,97955,-78566
001500,현대차증권,20260512,-38605,8037
015750,성우하이텍,20260512,-5365,-67934
069260,TKG휴켐스,20260512,-55088,-7505
114090,GKL,20260512,-149585,24751
017940,E1,20260512,514,779
001060,JW중외제약,20260512,3588,4014
001680,대상,20260512,-39751,-15200
272290,이녹스첨단소재,20260512,150299,-36696
089010,켐트로닉스,20260512,56535,-25742
389500,에스비비테크,20260512,61988,35283
090360,로보스타,20260512,4383,7826
015860,일진홀딩스,20260512,48198,23460
033640,네패스,20260512,8310,-55352
278280,천보,20260512,-5872,-9920
293940,신한알파리츠,20260512,-12635,-58093
005250,녹십자홀딩스,20260512,-78812,-61277
002350,넥센타이어,20260512,-79584,-5730
486990,노타,20260512,-4940,-1744
002840,미원상사,20260512,-426,-267
003280,흥아해운,20260512,-2916823,-1964
016380,KG스틸,20260512,185988,-17200
214430,아이쓰리시스템,20260512,-8403,-11115
161000,애경케미칼,20260512,55071,1569
376300,디어유,20260512,7520,-10
460860,동국제강,20260512,166898,-39494
001820,삼화콘덴서,20260512,55344,11837
005180,빙그레,20260512,-15476,-4111
041960,코미팜,20260512,2417,4959
089890,코세스,20260512,55238,-75432
372320,큐로셀,20260512,17793,804
200710,에이디테크놀로지,20260512,60968,-53399
383800,LX홀딩스,20260512,2198,-23857
460930,현대힘스,20260512,785,-13876
025980,아난티,20260512,272340,-44362
006910,보성파워텍,20260512,390387,11113
001570,금양,20260512,0,0
000640,동아쏘시오홀딩스,20260512,-12338,2873
010820,퍼스텍,20260512,269023,-9362
058650,세아홀딩스,20260512,-1444,-80
039130,하나투어,20260512,-45217,2567
009900,명신산업,20260512,134497,-62497
033160,엠케이전자,20260512,277930,-62505
008060,대덕,20260512,-103740,10676
005420,코스모화학,20260512,20151,-16980
006380,카프로,20260512,0,0
125490,한라캐스트,20260512,-435014,7303
104830,원익머트리얼즈,20260512,17312,8623
002960,한국쉘석유,20260512,-963,-149
290550,디케이티,20260512,-31823,98412
000400,롯데손해보험,20260512,-288914,-2967
060280,큐렉소,20260512,-45230,-4440
067160,SOOP,20260512,-253,-14903
393890,더블유씨피,20260512,49036,264041
002240,고려제강,20260512,3354,-6254
138080,오이솔루션,20260512,-77618,-18193
101930,인화정공,20260512,-17153,1281
005810,풍산홀딩스,20260512,17359,-7781
003000,부광약품,20260512,-126136,38883
001200,유진투자증권,20260512,-179113,-50009
041830,인바디,20260512,46710,58724
271940,일진하이솔루스,20260512,-4664,-12802
005389,현대차3우B,20260512,2776,84
383310,에코프로에이치엔,20260512,-6186,-4393
453340,현대그린푸드,20260512,7107,15245
016610,DB증권,20260512,-128,4407
019170,신풍제약,20260512,-73961,-237
493280,아이엠바이오로직스,20260512,21171,4024
037460,삼지전자,20260512,28792,-1542
045100,한양이엔지,20260512,-12497,-13634
069540,빛과전자,20260512,-1135688,335
119850,지엔씨에너지,20260512,11355,30863
003545,대신증권우,20260512,-36238,-2250
020000,한섬,20260512,-4856,53032
332570,PS일렉트로닉스,20260512,-191605,2041
317330,덕산테코피아,20260512,99136,-76523
468530,프로티나,20260512,-2878,840
093320,케이아이엔엑스,20260512,-3544,608
008730,율촌화학,20260512,-13829,-14831
035890,서희건설,20260512,-69352,78128
003300,한일홀딩스,20260512,-335,-4394
018290,브이티,20260512,-4767,-39208
268280,미원에스씨,20260512,-342,-170
084110,휴온스글로벌,20260512,-19232,-86733
130660,한전산업,20260512,85000,-13973
376270,HEM파마,20260512,17001,4908
168360,펨트론,20260512,-200632,-417
099190,아이센스,20260512,46532,-28354
009410,태영건설,20260512,-344484,-70
014830,유니드,20260512,-545,702
039440,에스티아이,20260512,121636,-33518
042000,카페24,20260512,32549,-11625
452260,한화갤러리아,20260512,322151,-404
122640,예스티,20260512,23197,-41210
092190,서울바이오시스,20260512,12366,1992
001530,DI동일,20260512,25036,-21578
107640,한중엔시에스,20260512,-638,-5686
284740,쿠쿠홈시스,20260512,-10593,10423
064260,다날,20260512,-571205,-55
010690,화신,20260512,-151492,117300
019210,와이지-원,20260512,74883,10172
234340,헥토파이낸셜,20260512,-62303,67102
041190,우리기술투자,20260512,-83193,-49248
047920,HLB제약,20260512,20828,126
080580,오킨스전자,20260512,226032,-105724
488900,비츠로넥스텍,20260512,-25384,1164
094800,맵스리얼티,20260512,-7448,-764
036620,감성코퍼레이션,20260512,23134,-34410
328130,루닛,20260512,-58421,-177315
006405,삼성SDI우,20260512,8897,347
254490,미래반도체,20260512,-127389,59332
004690,삼천리,20260512,2078,1898
101160,월덱스,20260512,44482,-495
025900,동화기업,20260512,5253,-7524
005945,NH투자증권우,20260512,3654,-664
330860,네패스아크,20260512,55814,-30586
287840,인투셀,20260512,-1170,10910
448730,삼성FN리츠,20260512,-3129,-12860
187660,페니트리움바이오,20260512,117304,-214
354320,알멕,20260512,-31816,-28184
031430,신세계인터내셔날,20260512,-13677,2240
000157,두산2우B,20260512,108,0
377740,바이오노트,20260512,26923,-562
251970,펌텍코리아,20260512,-10635,-8938
230360,에코마케팅,20260512,21857,0
036170,에이치엠넥스,20260512,-279732,2120
356680,엑스게이트,20260512,-49588,-2200
425040,티이엠씨,20260512,-96472,4
211050,인카금융서비스,20260512,22248,-50382
078130,국일제지,20260512,0,0
034310,NICE,20260512,-4944,-35480
105840,우진,20260512,23722,-22477
381970,케이카,20260512,-12352,-2641
394280,오픈엣지테크놀로지,20260512,75347,2839
000070,삼양홀딩스,20260512,2257,-11689
025320,시노펙스,20260512,45388,-197236
034950,한국기업평가,20260512,761,-521
079370,제우스,20260512,22912,-10078
230240,에치에프알,20260512,104590,6080
215200,메가스터디교육,20260512,3845,-8249
090435,아모레퍼시픽우,20260512,-6402,7762
030520,한글과컴퓨터,20260512,37609,-17741
482630,삼양엔씨켐,20260512,41379,-47656
013030,하이록코리아,20260512,51553,-8565
067630,HLB생명과학,20260512,-10864,16
950210,프레스티지바이오파마,20260512,8367,-381
002030,아세아,20260512,382,-998
114810,한솔아이원스,20260512,13053,-36961
004710,한솔테크닉스,20260512,304784,603927
110990,디아이티,20260512,74197,-22546
016590,신대양제지,20260512,-9658,-373
015360,INVENI,20260512,-3540,1047
145990,삼양사,20260512,-5709,-566
027410,BGF,20260512,5626,-13794
215600,신라젠,20260512,71316,636
002710,TCC스틸,20260512,70140,258
484590,삼양컴텍,20260512,-6825,-19202
029530,신도리코,20260512,-1650,-1809
012030,DB,20260512,-123946,155631
117730,티로보틱스,20260512,-15545,-4614
092790,넥스틸,20260512,75977,-7835
389650,넥스트바이오메디컬,20260512,-5762,6028
025860,남해화학,20260512,-269105,-29158
340570,티앤엘,20260512,-3914,349
092870,엑시콘,20260512,140102,-27095
078350,한양디지텍,20260512,-61158,-13846
126720,수산인더스트리,20260512,30182,-2501
306200,세아제강,20260512,4231,-1378
206650,유바이오로직스,20260512,6113,19873
042370,비츠로테크,20260512,111542,-13850
006220,제주은행,20260512,-49558,-2621
012860,모베이스전자,20260512,1380442,-213
355150,코스텍시스,20260512,27878,-13272
003720,삼영,20260512,109579,-7570
095660,네오위즈,20260512,15270,-12334
192650,드림텍,20260512,40760,13184
079940,가비아,20260512,5095,-770
145720,덴티움,20260512,494,-85
403550,쏘카,20260512,10969,5027
072710,농심홀딩스,20260512,-762,-68
058430,포스코스틸리온,20260512,179762,-4008
170920,엘티씨,20260512,36514,-17863
455900,엔젤로보틱스,20260512,-805,6878
064820,케이프,20260512,128064,-69382
098070,한텍,20260512,33130,-36743
357120,코람코라이프인프라리츠,20260512,17041,-7773
424870,이뮨온시아,20260512,43986,10731
105630,한세실업,20260512,17126,-24394
344820,KCC글라스,20260512,-7627,-5241
078020,LS증권,20260512,54562,14222
243070,휴온스,20260512,-36641,-9905
441270,파인엠텍,20260512,15873,21251
078150,HB테크놀러지,20260512,-505978,1006
029460,케이씨,20260512,3479,1489
009160,SIMPAC,20260512,4715,-8832
