symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d
086670,KOSDAQ,비엠티,"[46.66, 43.51, 46.03]","[320.2839, 203.9308, 131.9855]","[599.096, 520.063, 442.4475]","[6517931.0, 6446083.0, 6554781.0]","[7328994.0, 7604928.0, 7879465.0]","[8078098.0, 8177194.0, 8284531.0, 8382820.0]",1553.0,3546172573.5,1124421200.0,0.007240316806181584,7.72,2027.0,2026-05-18,1,2,Industrials,하락(-8.37%) KODEX 산업재,"[16606.0, 16603.5, 16626.0]","[15301.8, 15230.8, 15148.8]","[12812.55, 12784.55, 12757.65]",0,"[15650, 15380, 15800]"
355150,KOSDAQ,코스텍시스,"[79.56, 65.11, 72.49]","[8960.3757, 8294.0675, 8295.7455]","[7799.9108, 7898.7421, 7978.1428]","[37445189.0, 36947562.0, 37275777.0]","[37555485.0, 37590600.0, 37654763.0]","[35858302.0, 35476026.0, 35136450.0, 34813716.0]",4491.0,22900559071.5,28663315200.0,0.06382390380761523,0.0,-72.0,2026-05-18,1,2,Information Technology,상승(+50.13%) TIGER 200 IT,"[44036.0, 42106.0, 40599.0]","[30485.0, 29661.0, 28982.6]","[17236.9, 17006.2, 16814.95]",0,"[57600, 49850, 55500]"
021320,KOSDAQ,KCC건설,"[45.96, 41.49, 38.54]","[-30.1684, -62.1141, -101.5916]","[62.5526, 37.6193, 9.7771]","[2951826.0, 2983929.0, 3018299.0]","[3019943.0, 3040391.0, 3048602.0]","[2981370.0, 2973327.0, 2968109.0, 2948281.0]",1348.0,578095190.0,202248900.0,0.0015003627596439169,2.97,2121.0,2026-05-18,1,2,Industrials,하락(-8.37%) KODEX 산업재,"[7032.0, 7078.0, 7117.0]","[6791.4, 6791.0, 6780.2]","[5738.4, 5734.1, 5729.45]",0,"[6300, 6490, 6750]"
005860,KOSDAQ,한일사료,"[37.05, 33.57, 35.28]","[-102.2244, -118.4186, -127.3637]","[-55.3305, -67.9481, -79.8312]","[138142265.0, 137817718.0, 138539748.0]","[138861584.0, 139309669.0, 139639465.0]","[137829390.0, 137858336.0, 137836067.0, 137870887.0]",1352.0,5077913268.25,1113196210.0,0.008233699778106509,21.17,162.0,2026-05-18,1,2,Consumer Staples,상승(+2.40%) KODEX 필수소비재,"[3770.0, 3800.25, 3829.25]","[3937.8, 3952.2, 3970.8]","[3448.72, 3451.22, 3453.52]",0,"[3430, 3400, 3515]"
007330,KOSDAQ,푸른저축은행,"[76.78, 70.09, 60.73]","[216.3858, 233.8773, 226.5686]","[128.9523, 149.9373, 165.2635]","[10180832.0, 10200497.0, 10257323.0]","[10204126.0, 10201386.0, 10195054.0]","[10157931.0, 10153391.0, 10146047.0, 10132836.0]",1745.0,227221104.0,227524050.0,0.0013038627507163324,8.79,1317.0,2026-05-18,2,1,Financials,하락(-0.85%) TIGER 200 금융,"[11179.5, 11133.0, 11067.5]","[11013.8, 11001.4, 10984.4]","[10226.36, 10216.86, 10205.7]",0,"[11570, 11800, 11940]"
040160,KOSDAQ,누리플렉스,"[66.2, 52.04, 47.57]","[1526.1779, 1312.6707, 1066.6161]","[1693.5452, 1617.3703, 1507.2195]","[6174495.0, 6239984.0, 6345096.0]","[6327990.0, 6352567.0, 6361638.0]","[6372768.0, 6397523.0, 6408307.0, 6403718.0]",1805.0,2009591320.5,980370330.0,0.005431414570637119,0.0,-542.0,2026-05-18,0,1,Information Technology,상승(+50.13%) TIGER 200 IT,"[16768.5, 16753.0, 16626.5]","[12960.4, 12837.0, 12681.6]","[6523.42, 6472.25, 6416.35]",0,"[14970, 15770, 17730]"
071200,KOSDAQ,인피니트헬스케어,"[46.33, 61.48, 71.55]","[178.8979, 214.0826, 330.1495]","[228.3076, 225.4626, 246.4]","[23193120.0, 22233146.0, 21444172.0]","[21829968.0, 21635839.0, 21526363.0]","[21283057.0, 21156199.0, 21066098.0, 21013404.0]",2157.0,1550086028.5,8486170160.0,0.03934246713027353,8.17,1082.0,2026-05-18,1,2,Health Care,하락(-10.05%) TIGER 헬스케어,"[7167.0, 7059.5, 6991.5]","[6671.6, 6623.8, 6592.0]","[6378.52, 6369.8, 6366.94]",1,"[8840, 7700, 6720]"
085670,KOSDAQ,뉴프렉스,"[48.42, 39.36, 36.03]","[89.7902, 31.6579, -31.798]","[191.0533, 159.1742, 120.9797]","[40378352.0, 40684493.0, 41124688.0]","[41261952.0, 41364921.0, 41471702.0]","[41231941.0, 41182367.0, 41046938.0, 40889500.0]",1355.0,3560828593.5,1692959730.0,0.012494167749077491,15.36,360.0,2026-05-18,1,1,Information Technology,상승(+50.13%) TIGER 200 IT,"[6497.5, 6548.5, 6573.0]","[5903.0, 5896.0, 5872.8]","[5477.5, 5472.5, 5465.15]",0,"[5530, 5750, 6230]"
065450,KOSDAQ,빅텍,"[37.31, 36.3, 34.37]","[-134.042, -170.1052, -207.1906]","[18.3258, -19.3604, -56.9265]","[186256932.0, 186769049.0, 187408626.0]","[189222261.0, 190120660.0, 191149405.0]","[192917101.0, 192332035.0, 191616995.0, 190945834.0]",1318.0,14714202366.5,2289162990.0,0.01736845971168437,29.03,154.0,2026-05-18,0,2,Industrials,하락(-8.37%) KODEX 산업재,"[5440.0, 5489.5, 5530.75]","[5280.0, 5302.6, 5314.9]","[4218.92, 4217.58, 4215.68]",0,"[4470, 4605, 4675]"
217820,KOSDAQ,원익피앤이,"[42.24, 38.07, 35.38]","[42.0374, 1.547, -40.1654]","[117.657, 94.435, 67.5149]","[30202859.0, 30697629.0, 30961371.0]","[31380450.0, 31764455.0, 31956655.0]","[31525798.0, 31500875.0, 31436599.0, 31343964.0]",1447.0,2220506052.75,1509048500.0,0.010428807878369039,152.5,20.0,2026-05-18,0,3,Utilities,상승(+22.34%) TIGER KRX 기후변화솔루션,"[3689.5, 3703.5, 3707.75]","[3375.5, 3382.1, 3379.1]","[3431.78, 3432.28, 3432.05]",0,"[3050, 3175, 3350]"
