티커,종목명,PER,EPS,PBR,외국인보유율,날짜
005070,코스모신소재,-,-185.0,1.73,6.24,20260730
185750,종근당,11.81,5691.0,0.86,16.08,20260730
007810,코리아써키트,14.8,2602.0,2.16,7.82,20260730
009240,한샘,23.44,1670.0,1.61,13.37,20260730
192400,쿠쿠홀딩스,6.07,4264.0,0.61,10.88,20260730
066575,LG전자우,9.87,5420.0,0.38,41.76,20260730
032350,롯데관광개발,20.23,558.0,2.48,22.51,20260730
079160,CJ CGV,-,-883.0,2.3,6.06,20260730
009450,경동나비엔,8.18,7509.0,1.09,9.76,20260730
451800,한화리츠,-,-,-,0.86,20260730
034230,파라다이스,10.92,865.0,0.48,8.8,20260730
051915,LG화학우,-,-26317.0,0.25,46.57,20260730
000210,DL,-,-2530.0,0.23,21.82,20260730
030190,NICE평가정보,10.22,1405.0,1.83,32.88,20260730
365550,ESR켄달스퀘어리츠,-,-,-,39.73,20260730
036530,SNT홀딩스,6.79,7358.0,0.53,12.52,20260730
077970,STX엔진,10.83,1870.0,2.26,5.22,20260730
006120,SK디스커버리,3.68,12649.0,0.27,13.95,20260730
006340,대원전선,64.91,159.0,6.21,2.21,20260730
071055,한국금융지주우,3.38,40219.0,0.62,21.65,20260730
003530,한화투자증권,9.6,383.0,0.39,7.35,20260730
071320,지역난방공사,2.38,27785.0,0.31,2.88,20260730
214320,이노션,6.64,2881.0,0.7,21.13,20260730
003470,유안타증권,5.43,727.0,0.42,68.72,20260730
137310,에스디바이오센서,-,-3868.0,0.31,6.29,20260730
093370,후성,-,-43.0,2.16,13.54,20260730
100090,SK오션플랜트,16.64,706.0,0.89,5.18,20260730
499790,GS피앤엘,29.19,1180.0,0.79,10.72,20260730
004490,세방전지,5.23,9324.0,0.4,24.02,20260730
064960,SNT모티브,9.19,2758.0,0.58,13.76,20260730
285130,SK케미칼,60.06,646.0,0.33,10.84,20260730
003850,보령,6.39,1229.0,0.76,6.07,20260730
000370,한화손해보험,3.23,1747.0,0.3,12.8,20260730
298050,HS효성첨단소재,-,-3834.0,0.78,8.88,20260730
195870,해성디에스,19.04,2004.0,1.16,20.45,20260730
002960,한국쉘석유,12.87,38435.0,5.83,58.51,20260730
001570,금양,-,-983.0,1.41,5.08,20260730
293940,신한알파리츠,-,-,-,11.44,20260730
093050,LF,5.96,3689.0,0.35,13.69,20260730
001680,대상,-,-8346.0,0.6,17.21,20260730
268280,미원에스씨,9.39,13284.0,1.31,0.66,20260730
005180,빙그레,11.7,5745.0,0.79,17.2,20260730
248070,솔루엠,48.21,263.0,1.25,20.65,20260730
006380,카프로,-,-179.0,8.8,0.08,20260730
317450,명인제약,6.26,6594.0,0.76,1.26,20260730
000400,롯데손해보험,29.85,65.0,0.85,0.74,20260730
001820,삼화콘덴서,43.92,1316.0,2.15,10.86,20260730
002350,넥센타이어,3.68,1661.0,0.3,11.14,20260730
069260,TKG휴켐스,10.08,1453.0,0.64,8.12,20260730
453340,현대그린푸드,6.18,2966.0,0.79,16.09,20260730
000670,영풍,-,-15221.0,0.16,16.01,20260730
025540,한국단자,5.18,11265.0,0.5,30.08,20260730
017940,E1,5.19,16440.0,0.24,6.88,20260730
014820,동원시스템즈,9.95,2025.0,0.67,13.79,20260730
006650,대한유화,6.97,12807.0,0.29,13.83,20260730
114090,GKL,12.54,745.0,1.33,13.03,20260730
000640,동아쏘시오홀딩스,6.16,13918.0,0.5,16.23,20260730
007700,F&F홀딩스,3.49,4193.0,0.24,0.52,20260730
002840,미원상사,14.54,8725.0,1.37,2.96,20260730
383800,LX홀딩스,5.63,1321.0,0.28,13.13,20260730
005880,대한해운,3.21,540.0,0.24,12.09,20260730
