티커,종목명,PER,EPS,PBR,외국인보유율,날짜
038500,삼표시멘트,48.89,371.0,2.56,1.57,20260311
069620,대웅제약,20.88,8043.0,2.2,16.38,20260311
192820,코스맥스,38.79,4395.0,4.23,38.37,20260311
140860,파크시스템스,38.99,7014.0,8.71,30.34,20260311
361610,SK아이이테크놀로지,-,-2481.0,0.71,4.68,20260311
458870,씨어스테크놀로지,234.6,630.0,61.79,7.76,20260311
375500,DL이앤씨,7.37,6574.0,0.4,29.58,20260311
462870,시프트업,9.5,3285.0,2.13,37.05,20260311
101490,에스앤에스텍,44.57,1932.0,6.41,8.74,20260311
483650,달바글로벌,24.35,6086.0,8.98,26.05,20260311
039200,오스코텍,-,-344.0,15.35,10.87,20260311
006360,GS건설,88.22,242.0,0.4,24.33,20260311
115180,큐리언트,-,-689.0,36.16,4.62,20260311
160190,하이젠알앤엠,-,-247.0,26.76,1.1,20260311
003380,하림지주,15.07,1054.0,0.49,7.73,20260311
006280,녹십자,31.4,4821.0,1.33,23.59,20260311
456160,지투지바이오,-,-1078.0,29.72,7.19,20260311
065350,신성델타테크,143.41,440.0,7.88,2.71,20260311
003570,SNT다이내믹스,28.08,1852.0,1.34,7.96,20260311
395400,SK리츠,-,-,-,7.98,20260311
006040,동원산업,5.24,7429.0,0.53,4.47,20260311
319660,피에스케이,22.8,2574.0,3.29,24.29,20260311
073240,금호타이어,6.66,885.0,0.92,11.48,20260311
008770,호텔신라,-,-4321.0,1.47,14.28,20260311
232140,와이씨,206.0,100.0,4.85,3.87,20260311
085660,차바이오텍,-,-1712.0,4.17,6.84,20260311
082270,젬백스,-,-1459.0,32.22,6.51,20260311
078600,대주전자재료,43.6,2431.0,6.55,12.68,20260311
437730,삼현,237.16,218.0,14.13,1.86,20260311
007340,DN오토모티브,6.62,4230.0,0.77,4.38,20260311
161890,한국콜마,14.43,4809.0,1.9,37.32,20260311
005070,코스모신소재,602.41,83.0,3.28,5.93,20260311
007070,GS리테일,19.92,971.0,0.49,12.47,20260311
001120,LX인터내셔널,13.81,2976.0,0.54,22.87,20260311
003530,한화투자증권,24.55,301.0,0.85,7.19,20260311
034230,파라다이스,15.62,1093.0,0.87,8.36,20260311
000500,가온전선,27.28,3497.0,3.37,1.15,20260311
124500,아이티센글로벌,69.14,972.0,15.47,5.6,20260311
298020,효성티앤씨,24.24,14852.0,0.99,17.41,20260311
445680,큐리옥스바이오시스템즈,-,-1429.0,28.86,4.57,20260311
001800,오리온홀딩스,9.45,2603.0,0.62,9.55,20260311
090710,휴림로봇,471.48,27.0,10.77,6.89,20260311
376900,로킷헬스케어,-,-535.0,148.77,3.9,20260311
032350,롯데관광개발,-,-750.0,4.36,21.48,20260311
012630,HDC,6.0,4214.0,0.44,22.14,20260311
189300,인텔리안테크,-,-328.0,5.84,16.36,20260311
080220,제주반도체,41.66,1043.0,6.91,1.06,20260311
007310,오뚜기,14.67,25221.0,0.61,11.41,20260311
060370,LS마린솔루션,132.16,213.0,2.29,2.66,20260311
174900,앱클론,-,-861.0,49.49,7.66,20260311
466100,클로봇,-,-313.0,24.67,4.91,20260311
030610,교보증권,11.91,1067.0,0.68,1.44,20260311
397030,에이프릴바이오,-,-39.0,15.61,5.48,20260311
048410,현대바이오,-,-240.0,13.09,4.45,20260311
003090,대웅,18.53,1333.0,0.93,6.12,20260311
020560,아시아나항공,-,-1853.0,1.71,3.11,20260311
294870,HDC현대산업개발,7.43,2912.0,0.43,16.99,20260311
195940,HK이노엔,20.81,2372.0,1.08,12.36,20260311
035760,CJ ENM,16.55,3795.0,0.45,17.71,20260311
281740,레이크머티리얼즈,107.77,193.0,10.52,7.63,20260311
077970,STX엔진,18.99,1788.0,4.12,5.14,20260311
330590,롯데리츠,-,-,-,7.72,20260311
082640,동양생명,7.46,1112.0,1.0,47.93,20260311
004000,롯데정밀화학,22.14,2340.0,0.55,21.7,20260311
388210,씨엠티엑스,44.79,3099.0,10.1,5.2,20260311
003240,태광산업,8.24,143869.0,0.25,3.15,20260311
036830,솔브레인홀딩스,16.11,3873.0,0.91,5.53,20260311
229640,LS에코에너지,30.97,1366.0,6.43,5.39,20260311
295310,에이치브이엠,-,-507.0,15.77,8.44,20260311
095610,테스,19.56,3400.0,3.15,10.19,20260311
348370,엔켐,-,-9434.0,2.49,3.44,20260311
388720,유일로보틱스,-,-1619.0,13.33,15.66,20260311
127120,제이에스링크,-,-494.0,23.98,2.6,20260311
007810,코리아써키트,-,-3094.0,3.94,6.12,20260311
389470,인벤티지랩,-,-1445.0,19.46,5.08,20260311
131970,두산테스나,-,-721.0,2.94,8.58,20260311
300720,한일시멘트,14.82,1127.0,0.67,4.87,20260311
415640,KB발해인프라,-,-,-,0.42,20260311
000815,삼성화재우,9.91,39851.0,0.9,27.07,20260311
051915,LG화학우,-,-23242.0,0.38,43.54,20260311
166090,하나머티리얼즈,36.54,1683.0,2.78,18.56,20260311
100790,미래에셋벤처투자,303.33,75.0,3.37,2.04,20260311
007390,네이처셀,-,-45.0,19.2,8.54,20260311
181710,NHN,-,-1355.0,0.78,14.19,20260311
171090,선익시스템,32.25,3690.0,9.58,8.16,20260311
417200,LS머트리얼즈,1961.11,9.0,6.49,4.46,20260311
122870,와이지엔터테인먼트,23.57,2698.0,2.31,9.37,20260311
185750,종근당,20.06,4292.0,1.2,16.16,20260311
253450,스튜디오드래곤,62.78,626.0,1.38,8.83,20260311
000080,하이트진로,13.78,1221.0,0.99,6.05,20260311
322000,HD현대에너지솔루션,38.28,2743.0,2.95,5.07,20260311
001740,SK네트웍스,-,-39.0,0.51,15.23,20260311
089860,롯데렌탈,9.47,3415.0,0.77,7.14,20260311
293490,카카오게임즈,-,-1346.0,0.83,8.82,20260311
036540,SFA반도체,-,-165.0,2.48,4.92,20260311
096530,씨젠,-,-12.0,1.02,14.36,20260311
137400,피엔티,12.41,3931.0,1.92,6.99,20260311
005300,롯데칠성,17.91,6923.0,0.8,15.46,20260311
484870,엠앤씨솔루션,26.41,4736.0,6.36,11.47,20260311
056080,유진로봇,-,-185.0,39.47,16.46,20260311
183300,코미코,19.71,5519.0,4.37,19.22,20260311
100090,SK오션플랜트,44.31,411.0,1.46,6.18,20260311
222080,씨아이에스,23.58,609.0,2.24,9.25,20260311
131290,티에스이,27.19,3696.0,3.05,11.37,20260311
204270,제이앤티씨,-,-1513.0,4.1,2.67,20260311
161580,필옵틱스,-,-279.0,6.82,1.74,20260311
280360,롯데웰푸드,16.7,6927.0,0.48,13.94,20260311
365550,ESR켄달스퀘어리츠,-,-,-,39.63,20260311
328130,루닛,-,-3037.0,6.4,9.16,20260311
192080,더블유게임즈,6.68,7437.0,0.85,18.41,20260311
056190,에스에프에이,50.34,580.0,0.92,12.22,20260311
030190,NICE평가정보,12.5,1418.0,2.32,33.95,20260311
213420,덕산네오룩스,21.96,1910.0,2.4,10.4,20260311
285130,SK케미칼,13.65,4394.0,0.51,12.97,20260311
009240,한샘,27.11,1603.0,1.84,13.41,20260311
032500,케이엠더블유,-,-697.0,7.83,6.36,20260311
192400,쿠쿠홀딩스,7.28,3914.0,0.7,11.48,20260311
187660,현대ADM,-,-315.0,46.31,1.27,20260311
249420,일동제약,32.85,971.0,4.33,5.62,20260311
071320,지역난방공사,3.07,28301.0,0.45,3.77,20260311
082920,비츠로셀,17.42,1269.0,3.19,34.9,20260311
006120,SK디스커버리,18.39,3115.0,0.37,15.27,20260311
052400,코나아이,16.34,4192.0,4.12,5.34,20260311
075580,세진중공업,25.22,693.0,4.91,5.84,20260311
126340,비나텍,-,-1204.0,11.35,8.58,20260311
003470,유안타증권,14.36,346.0,0.61,65.9,20260311
071055,한국금융지주우,5.84,28863.0,0.85,23.48,20260311
137310,에스디바이오센서,8.8,922.0,0.32,6.28,20260311
420770,기가비스,240.37,322.0,4.94,3.5,20260311
089970,브이엠,61.73,648.0,6.36,10.43,20260311
298050,HS효성첨단소재,-,-1489.0,1.0,11.33,20260311
475150,SK이터닉스,32.34,889.0,3.85,2.52,20260311
376300,디어유,70.19,582.0,4.83,5.9,20260311
033240,자화전자,55.92,794.0,2.24,15.75,20260311
476060,온코닉테라퓨틱스,54.3,395.0,13.84,3.33,20260311
000670,영풍,-,-10089.0,0.26,15.06,20260311
044490,태웅,68.4,701.0,1.57,4.59,20260311
005690,파미셀,33.28,479.0,8.66,9.08,20260311
032190,다우데이타,5.02,4957.0,0.62,13.4,20260311
036530,SNT홀딩스,7.32,7969.0,0.61,13.67,20260311
010170,대한광통신,-,-459.0,13.98,9.12,20260311
348340,뉴로메카,-,-1836.0,61.19,5.4,20260311
066575,LG전자우,9.22,5943.0,0.44,45.45,20260311
000210,DL,-,-1195.0,0.25,14.86,20260311
084110,휴온스글로벌,38.13,1930.0,1.67,8.6,20260311
010780,아이에스동서,-,-6267.0,0.68,5.39,20260311
195870,해성디에스,34.94,1557.0,1.66,16.44,20260311
003160,디아이,41.12,794.0,5.08,13.29,20260311
057050,현대홈쇼핑,11.15,6907.0,0.37,15.59,20260311
006730,서부T&D,13.72,1036.0,0.9,18.89,20260311
281820,케이씨텍,15.35,2902.0,1.72,13.7,20260311
499790,GS피앤엘,54.54,848.0,1.07,12.51,20260311
052020,에스티큐브,-,-312.0,11.58,4.81,20260311
451800,한화리츠,-,-,-,0.96,20260311
009450,경동나비엔,7.46,8217.0,1.17,8.84,20260311
064960,SNT모티브,12.73,2623.0,0.79,17.84,20260311
074600,원익QnC,32.04,1044.0,1.81,6.45,20260311
086900,메디톡스,40.74,2948.0,1.81,14.33,20260311
317450,명인제약,9.79,6131.0,1.14,0.82,20260311
100840,SNT에너지,10.37,4080.0,2.29,6.04,20260311
001510,SK증권,231.25,8.0,1.29,4.58,20260311
006650,대한유화,27.43,4878.0,0.45,11.72,20260311
253590,네오셈,100.15,197.0,7.39,0.37,20260311
004490,세방전지,6.53,9488.0,0.52,24.1,20260311
078160,메디포스트,-,-2577.0,3.24,3.03,20260311
248070,솔루엠,44.2,405.0,1.79,22.08,20260311
468530,프로티나,-,-912.0,27.46,2.96,20260311
490470,세미파이브,-,-10353.0,6.49,1.52,20260311
014620,성광벤드,26.1,1230.0,1.58,31.31,20260311
015750,성우하이텍,4.63,2300.0,0.52,7.19,20260311
348210,넥스틴,66.72,1214.0,5.5,11.13,20260311
358570,지아이이노베이션,-,-897.0,7.19,6.81,20260311
108320,LX세미콘,10.02,5198.0,0.77,27.43,20260311
001270,부국증권,24.04,3378.0,0.88,1.02,20260311
086450,동국제약,13.77,1344.0,1.28,15.27,20260311
102710,이엔에프테크놀로지,16.99,3431.0,1.89,18.64,20260311
000370,한화손해보험,4.26,1669.0,0.41,12.01,20260311
448900,한국피아이엠,1212.39,113.0,14.65,4.34,20260311
005090,SGC에너지,-,-1785.0,1.09,4.06,20260311
036810,에프에스티,-,-13.0,3.15,6.4,20260311
003850,보령,14.13,671.0,0.98,6.77,20260311
079160,CJ CGV,-,-1434.0,-,6.22,20260311
033500,동성화인텍,13.05,2046.0,3.28,17.97,20260311
079900,전진건설로봇,24.76,2213.0,5.41,0.86,20260311
486990,노타,-,-2798.0,170.32,1.32,20260311
033100,제룡전기,13.14,3757.0,3.44,8.4,20260311
060250,NHN KCP,17.17,1144.0,2.64,8.0,20260311
214320,이노션,9.13,2115.0,0.75,20.91,20260311
093370,후성,-,-765.0,2.46,8.37,20260311
025980,아난티,-,-445.0,1.05,6.18,20260311
112040,위메이드,3.65,6167.0,1.69,6.41,20260311
214430,아이쓰리시스템,41.29,2526.0,5.82,2.81,20260311
241710,코스메카코리아,16.74,4259.0,3.18,18.07,20260311
121600,나노신소재,-,-431.0,3.06,6.51,20260311
002020,코오롱,-,-8727.0,0.44,12.31,20260311
025540,한국단자,6.95,10757.0,0.66,28.74,20260311
069260,TKG휴켐스,10.89,1690.0,0.79,10.36,20260311
456040,OCI,-,-5595.0,0.67,9.3,20260311
102940,코오롱생명과학,39.85,1433.0,2.05,4.98,20260311
027360,아주IB투자,165.68,37.0,2.79,2.4,20260311
067160,SOOP,7.44,8631.0,1.56,29.92,20260311
114090,GKL,13.85,860.0,1.66,13.42,20260311
001060,JW중외제약,12.53,2521.0,2.16,8.85,20260311
009520,포스코엠텍,-,-86.0,6.93,6.72,20260311
023160,태광,11.44,2474.0,1.19,22.18,20260311
005180,빙그레,13.25,5757.0,0.91,20.12,20260311
399720,가온칩스,-,-943.0,13.49,1.02,20260311
475960,토모큐브,-,-753.0,19.18,5.85,20260311
014820,동원시스템즈,12.48,2003.0,0.86,13.7,20260311
007700,F&F홀딩스,7.28,2540.0,0.32,0.58,20260311
001680,대상,8.95,2313.0,0.52,16.0,20260311
002350,넥센타이어,4.72,1552.0,0.38,10.86,20260311
003620,KG모빌리티,235.67,15.0,0.49,18.16,20260311
225570,넥슨게임즈,-,-482.0,2.44,2.64,20260311
425420,티에프이,67.54,881.0,7.37,7.22,20260311
050890,쏠리드,29.65,395.0,2.18,16.41,20260311
005880,대한해운,4.88,450.0,0.34,11.14,20260311
042000,카페24,18.9,1532.0,2.71,16.12,20260311
001500,현대차증권,11.71,967.0,0.43,2.26,20260311
287840,인투셀,-,-753.0,28.67,5.05,20260311
130660,한전산업,-,-82.0,6.48,3.49,20260311
381970,케이카,12.97,1096.0,3.0,8.85,20260311
000640,동아쏘시오홀딩스,6.61,15991.0,0.61,16.33,20260311
002960,한국쉘석유,16.95,31330.0,5.38,59.53,20260311
053800,안랩,14.32,4329.0,1.54,24.49,20260311
293940,신한알파리츠,-,-,-,11.08,20260311
372320,큐로셀,-,-2755.0,34.31,2.33,20260311
003545,대신증권우,10.48,2515.0,0.52,13.25,20260311
383310,에코프로에이치엔,39.34,830.0,2.28,7.3,20260311
